Domain,Learner age,learner level,contributor level,YClass,,,,,,
1,23,1,1,1,,,,,,
1,12,1,1,1,,,,,,
1,23,1,1,1,,,,,,
1,19,1,1,1,,,,,,
1,12,1,1,1,,,,,,
1,13,1,1,1,,,,,,
1,25,1,1,1,,,,,,
1,12,1,1,1,,,,,,
1,14,1,1,1,,,,,,
1,21,1,1,1,,,,,,
1,20,1,1,1,,,,,,
1,21,1,1,1,,,,,,
1,13,1,1,1,,,,,,
1,23,1,1,1,,,,,,
1,14,1,1,1,,,,,,
1,25,1,2,1,,,,,,
1,22,1,2,1,,,,,,
1,17,1,3,1,,,,,,
1,19,1,2,1,,,,,,
1,23,1,3,1,,,,,,
1,25,1,2,1,,,,,,
1,17,1,1,1,,,,,,
1,13,1,4,1,,,,,,
1,14,1,3,1,,,,,,
1,19,2,1,1,,,,,,
1,12,3,2,1,,,,,,
1,15,0,3,1,,,,,,
1,22,1,3,1,,,,,,
1,25,0,1,1,,,,,,
1,21,2,3,1,,,,,,
1,20,1,2,1,,,,,,
1,18,0,2,1,,,,,,
1,24,0,3,1,,,,,,
1,24,3,1,1,,,,,,
1,15,1,1,1,,,,,,
1,17,3,2,1,,,,,,
1,18,2,3,1,,,,,,
1,19,1,3,1,,,,,,
1,16,1,2,1,,,,,,
1,21,3,1,1,,,,,,
1,20,2,1,1,,,,,,
1,17,2,3,1,,,,,,
1,25,3,3,1,,,,,,
1,18,3,1,1,,,,,,
1,16,0,2,1,,,,,,
1,20,1,1,1,,,,,,
1,19,0,1,1,,,,,,
1,23,2,1,1,,,,,,
1,13,1,3,1,,,,,,
1,14,0,2,1,,,,,,
1,24,0,3,1,,,,,,
1,20,0,3,1,,,,,,
1,18,3,2,1,,,,,,
1,16,2,3,1,,,,,,
1,12,3,1,1,,,,,,
1,19,1,3,1,,,,,,
1,17,1,2,1,,,,,,
1,18,2,1,1,,,,,,
1,19,0,2,1,,,,,,
1,25,1,3,1,,,,,,
1,18,2,3,1,,,,,,
1,14,1,2,1,,,,,,
1,22,1,2,1,,,,,,
1,25,0,1,1,,,,,,
1,20,0,3,2,,,,,,
1,12,3,1,2,,,,,,
1,19,3,2,3,,,,,,
1,13,2,3,3,,,,,,
1,15,3,2,3,,,,,,
1,16,0,1,1,,,,,,
1,17,2,3,2,,,,,,
1,12,3,3,3,,,,,,
1,16,2,3,2,,,,,,
1,25,3,2,3,,,,,,
1,19,1,1,2,,,,,,
1,25,2,3,1,,,,,,
1,15,1,3,1,,,,,,
1,13,1,2,1,,,,,,
1,17,1,3,1,,,,,,
1,20,3,2,1,,,,,,
1,13,2,1,2,,,,,,
1,16,3,1,2,,,,,,
1,17,0,2,1,,,,,,
1,12,1,1,2,,,,,,
1,18,2,1,2,,,,,,
1,16,1,3,1,,,,,,
1,16,1,2,1,,,,,,
1,15,0,3,1,,,,,,
1,19,0,1,3,,,,,,
1,13,2,1,2,,,,,,
1,25,3,3,1,,,,,,
1,14,0,1,2,,,,,,
1,23,0,2,1,,,,,,
1,19,2,1,2,,,,,,
1,12,3,3,1,,,,,,
1,22,1,3,1,,,,,,
1,22,0,1,2,,,,,,
1,21,3,3,1,,,,,,
1,14,3,3,1,,,,,,
2,15,3,1,2,,,,,,
2,25,3,3,2,,,,,,
2,22,3,1,2,,,,,,
2,14,2,2,2,,,,,,
2,23,0,1,2,,,,,,
2,19,3,1,2,,,,,,
2,18,2,3,2,,,,,,
2,15,0,3,2,,,,,,
2,20,1,1,2,,,,,,
2,22,3,2,2,,,,,,
2,19,2,3,2,,,,,,
2,16,3,3,2,,,,,,
2,18,2,1,2,,,,,,
2,15,1,2,2,,,,,,
2,19,2,2,2,,,,,,
2,12,1,2,2,,,,,,
2,15,1,1,2,,,,,,
2,16,0,2,2,,,,,,
2,12,3,2,2,,,,,,
2,18,3,1,2,,,,,,
2,19,3,1,2,,,,,,
2,22,3,3,2,,,,,,
2,13,1,2,2,,,,,,
2,13,3,1,2,,,,,,
2,22,3,2,2,,,,,,
2,20,3,1,2,,,,,,
2,13,3,2,2,,,,,,
2,13,2,3,2,,,,,,
2,18,2,3,2,,,,,,
2,13,1,1,2,,,,,,
2,18,2,2,2,,,,,,
2,22,0,3,2,,,,,,
2,25,2,2,2,,,,,,
2,19,3,1,2,,,,,,
2,15,0,1,2,,,,,,
2,16,1,1,2,,,,,,
2,18,2,1,2,,,,,,
2,21,2,1,2,,,,,,
2,23,2,1,2,,,,,,
2,15,3,2,2,,,,,,
2,22,2,2,2,,,,,,
2,17,2,1,2,,,,,,
2,23,1,1,2,,,,,,
2,15,1,3,2,,,,,,
2,14,1,2,2,,,,,,
2,24,3,1,2,,,,,,
2,22,3,2,2,,,,,,
2,22,0,3,2,,,,,,
2,22,2,3,2,,,,,,
2,21,0,1,2,,,,,,
2,22,0,2,2,,,,,,
2,20,3,2,2,,,,,,
2,12,3,2,2,,,,,,
2,15,3,2,2,,,,,,
2,14,2,1,2,,,,,,
2,20,2,2,2,,,,,,
2,24,2,1,2,,,,,,
2,16,0,3,2,,,,,,
2,24,1,1,2,,,,,,
2,16,0,1,2,,,,,,
2,20,3,1,2,,,,,,
2,24,0,1,2,,,,,,
2,20,0,3,2,,,,,,
2,17,2,3,2,,,,,,
2,25,1,3,2,,,,,,
2,12,2,1,3,,,,,,
2,21,1,1,2,,,,,,
2,21,0,3,3,,,,,,
2,12,0,2,3,,,,,,
2,12,2,3,1,,,,,,
2,15,3,2,2,,,,,,
2,13,2,2,1,,,,,,
2,12,3,2,2,,,,,,
2,21,0,2,3,,,,,,
2,22,1,3,2,,,,,,
2,17,3,3,2,,,,,,
2,21,3,1,1,,,,,,
2,24,0,3,2,,,,,,
2,22,2,1,1,,,,,,
2,24,0,2,2,,,,,,
2,13,1,2,2,,,,,,
2,16,2,3,2,,,,,,
2,15,2,2,2,,,,,,
2,17,2,2,2,,,,,,
2,20,3,3,2,,,,,,
2,13,2,3,2,,,,,,
2,13,3,1,1,,,,,,
2,24,2,1,1,,,,,,
2,16,2,1,1,,,,,,
2,19,2,3,1,,,,,,
2,25,1,1,1,,,,,,
2,13,1,3,1,,,,,,
2,17,3,1,2,,,,,,
2,15,1,3,2,,,,,,
2,21,2,1,2,,,,,,
2,14,3,3,2,,,,,,
2,22,2,2,2,,,,,,
2,20,1,1,2,,,,,,
2,24,2,2,1,,,,,,
2,14,2,1,2,,,,,,
2,21,1,2,2,,,,,,